Company Name,Website,Company Linkedin Url,Facebook Url,Twitter Url,City,State,Country,Company Address,Company City,Company State,Company Country,Company Phone,SEO Description,Technologies,Annual Revenue,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At
The Laundry Basket IN,http://www.thelaundrybasket.in,http://www.linkedin.com/company/the-laundry-basket-in,,,Bengaluru,Karnataka,India,"6 80 Feet Road, Bengaluru, Karnataka, India, 560095",Bengaluru,Karnataka,India,+91 87210 13729,"Best Laundry Service in Bangalore - The Laundry Basket is one of the largest online laundry service providers in Bangalore. Our services include dry cleaning, ironing & shoe dry wash with the independent wash and best care for your garments. Drop an Enquiry for Home Pickup & Delivery.","DigitalOcean, Amazon SES, Digital Ocean DNS, Google Tag Manager, Ubuntu, Mobile Friendly, Bootstrap Framework, Apache",,,,,
MYITMANAGER.in,http://www.myitmanager.in,http://www.linkedin.com/company/myitmanager.in,https://www.facebook.com/myitmanager.in,https://twitter.com/myitmanager1,Gurugram,Haryana,India,"Gurugram, Haryana, India, 122003",Gurugram,Haryana,India,+91 9711410789,,"Outlook, GoDaddy Hosting, Google Tag Manager, WordPress.org, Stripe, Bootstrap Framework, Mobile Friendly, Google Font API, Woo Commerce, ",,,,,
Aritron Technologies Pvt,http://www.aritron.com,http://www.linkedin.com/company/aritron,,,Gurugram,Haryana,India,"5 Mathura Road, Faridabad, Haryana, India, 121003",Faridabad,Haryana,India,9.19972E+11,"IOT, Embedded Systems, Firmware & Hardware Development","Mobile Friendly, Nginx, Google Font API, Google Analytics, Bootstrap Framework, Google Workspace, , IoT, Data Analytics, , React Native, Node.js",,,,,
Paylesser.com,http://www.paylesser.com,http://www.linkedin.com/company/paylesser,https://www.facebook.com/Paylesserglobal,https://twitter.com/paylesserglobal,Gurgaon,Haryana,India,"C D Chowk, Gurugram, Haryana, India, 122018",Gurugram,Haryana,India,-89234,Find the best deals and discounts for all your shopping needs from Paylesser.com. Save money today with coupons and discount codes from favourite stores.,"Outlook, Amazon AWS, Mobile Friendly, Google Play, Google Tag Manager, Facebook Custom Audiences, Nginx, Google Dynamic Remarketing, Bootstrap Framework, DoubleClick Conversion, Facebook Widget, Facebook Login (Connect), Google Font API, , ",,,,,
Pioneer Websystem Private,http://www.pioneerwebsystem.com,http://www.linkedin.com/company/pioneer-websystem-private-ltd,https://www.facebook.com/pioneerwebsystem,https://twitter.com/Pioneerwebsys,Ahmedabad,Gujarat,India,"Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,9.19898E+11,"Web Design & Development, SEO, SMO Optimization Company in India offers website design, web development, internet marketing, SEO services, eCommerce development, CMS development, custom website development, responsive website, mobile website, logo designing, domain registration, web hosting services at Affordable cost.","Gmail, Google Apps, CommentLuv, reCAPTCHA, Google Plus, Apache, WordPress.org, Google Font API, Google Tag Manager, Mobile Friendly, Google Analytics",,,,,
Making You Live Pvt,http://www.makingyoulive.com,http://www.linkedin.com/company/making-you-live-pvt-ltd-,https://facebook.com/MakingYouLIVE,https://twitter.com/makingyoulive,Phagwara,Punjab,India,"Sahibzada Ajit Singh Nagar, Punjab, India, 140308",Sahibzada Ajit Singh Nagar,Punjab,India,903963,"Making you live Provides Best Website Development Services Punjab - Phagwara, Ecommerce Development Punjab - Phagwara, Cloud Telephony Punjab - Phagwara, Software Development Punjab - Phagwara,  Android development Punjab - Phagwara etc","Route 53, Amazon AWS, Mobile Friendly, YouTube, Google Analytics, LiveZilla, Apache, Google Font API, SAP",103000,,,,
KittyFlo,http://www.kittyflo.com,http://www.linkedin.com/company/kittyflo,,,,,India,"Chandigarh, India, 160002",,Chandigarh,India,+91 98884 44348,"bat365在线官网登录拥有最全的足球资讯,点击进入bat365在线官网登录开始您的欢乐之旅吧,bat365在线官网登录以用户利益为最大目标,提供优质的网络游戏专区。","Mobile Friendly, Nginx",,,,,
TouchCodes India Private Limited,http://www.touchcodes.in,http://www.linkedin.com/company/touch-codes,https://www.facebook.com/touchcodes,,Bengaluru,Karnataka,India,"147/E 17th Main Road, Bengaluru, Karnataka, India, 560040",Bengaluru,Karnataka,India,9.19449E+11,"Touchcodes : Custom Software Development Company App Development, CRM, Creatives and Digital Marketing Company in Bangalore, India.","Gmail, Google Apps, Bootstrap Framework, Mobile Friendly, Nginx, SAP",,,,,
Stellant Communications Pvt,http://www.stellant.in,http://www.linkedin.com/company/stellant-communications-pvt-ltd-,,,Mumbai,Maharashtra,India,"34, Navi Mumbai, Maharashtra, India, 400706",Navi Mumbai,Maharashtra,India,,,"Gmail, Google Apps, Google Analytics, Google Font API, Mobile Friendly",,,,,
TechChefs Software Pvt,http://www.techchefs.in,http://www.linkedin.com/company/techchefs,https://facebook.com/techchefs.in,https://twitter.com/Tech_Chefs?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Bengaluru,Karnataka,India,"62 11th Main Road, Bengaluru, Karnataka, India, 560011",Bengaluru,Karnataka,India,+91 90082 55228,,"Gmail, Google Apps",8000000,,,,
